none
none
none
none
none
none
"c" "c" 1;
"c" "c" 1;
"c" "c" 1;
"c" "c" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" "s" 1;
"c" "c" "r" 1; "d" "k" "s" 1;
"c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 1; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "o" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "o" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "f" "i" "r" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "p" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "p" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "p" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "p" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "p" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "p" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "p" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "p" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "p" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "p" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "p" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" 5;
