none
none
none
none
none
none
none
none
"a" "k" 1;
"a" "k" 1;
"a" "k" 1; "e" "a" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "e" "k" 1; "e" "a" "f" 1;
"a" "e" "k" 1; "e" "a" "f" 1;
"a" "e" "k" 1; "e" "a" "f" 1;
"a" "e" "k" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "b" "n" "q" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "b" "n" "q" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" "w" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" "w" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "h" 5;
"a" "i" "w" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "a" "h" 5;
"a" "i" "w" 5; "b" "g" 5; "c" "p" 4; "d" "d" 7; "e" "a" "h" 5;
